oa_temp,oa_radiation,zone_temp,zone_clg_tstat,zone_occ
29.4,0.0,26.345227834607996,26.37368223474624,0.0
27.2,0.0,23.588991376436795,23.478835644204217,0.0
25.6,0.0,26.210403852130725,29.75667702211647,0.0
26.7,0.0,27.159727323230666,28.20106258688892,0.0
25.6,0.0,27.47144470443277,29.51599153251352,0.0
25.0,80.0,27.603170050670528,29.15861880342119,0.0
28.3,476.0,26.838159192356247,26.78319983048868,0.1
30.6,679.0,28.00756283252399,29.37499388018493,0.2
32.8,781.0,23.19407246786342,22.70794001641536,0.95
34.4,838.0,23.5677421043305,23.56786289935316,0.95
35.6,816.0,22.502709718050244,22.361818311284303,0.95
36.7,874.0,24.59069376370088,24.60264264610612,0.95
38.9,803.0,25.103322888734347,25.109418317515857,0.5
39.4,576.0,24.17702822152115,24.170792254191166,0.95
40.0,585.0,27.794946989019884,28.629900073215435,0.95
38.9,600.0,24.955886321605018,24.854026613548715,0.95
39.4,383.0,24.26335723462756,24.247476077499044,0.95
37.8,318.0,26.310610067589927,26.34156866526599,0.3
37.2,241.0,23.264875868906103,23.1273937997981,0.1
35.6,0.0,26.88728268350997,28.41757584603232,0.1
34.4,0.0,22.90105996215285,22.59640514943817,0.05
33.3,0.0,26.34902295270493,29.89509549280414,0.05
33.3,0.0,27.88422194883765,28.177958154373258,0.05
31.7,0.0,23.76790024564525,23.589725452273377,0.05
31.1,0.0,22.498530603316134,22.04417693698882,0.0
30.0,0.0,25.858355379852668,28.52369142763868,0.0
28.9,0.0,27.051555219580614,27.65485875078094,0.0
27.8,0.0,27.52674826947425,27.8320573443279,0.0
27.2,0.0,27.68832782984493,28.170162773487565,0.0
28.3,1.0,22.790166552712304,22.592357213872724,0.0
27.2,57.0,24.78552194197903,24.86772582835418,0.0
30.6,239.0,23.054813613353605,22.92695247620104,0.0
30.0,185.0,25.87441819266409,28.90482740700475,0.0
31.7,195.0,26.932070269002708,26.986385014620463,0.0
33.3,348.0,24.66865335346021,24.6471841988212,0.0
35.0,113.0,22.59428616789133,22.50846680228819,0.0
34.4,7.0,24.410560475031303,24.487858573725298,0.0
34.4,13.0,24.556271003619894,24.601466576213976,0.0
35.0,10.0,27.302530138426,27.83684942670451,0.0
34.4,423.0,27.137998065279888,27.100459770841702,0.0
35.0,555.0,28.769329765269987,29.09770194061061,0.0
35.6,482.0,25.856360998558173,25.777719401295595,0.0
35.6,137.0,23.12234338057293,22.95675396750641,0.0
33.9,0.0,26.55073238175919,27.70595829778396,0.0
32.8,0.0,27.845389828438712,28.08628038893518,0.0
31.7,0.0,26.5070500775683,26.49021758055597,0.0
31.1,0.0,27.99619074836017,28.16773743963649,0.0
31.1,0.0,26.045040523622863,25.95036477091513,0.0
30.6,0.0,26.170619992915245,26.18186263505596,0.0
30.0,0.0,25.493813408080733,25.4203281468684,0.0
28.3,0.0,22.34091657927365,22.20335301395276,0.0
27.8,0.0,22.808908955779813,22.86313141594644,0.0
27.8,0.0,22.352651162725262,22.25143348549388,0.0
27.8,0.0,25.314412931967865,27.091283290110244,0.0
29.4,97.0,24.58481964212077,24.51484784861061,0.1
29.4,66.0,26.025202882373925,26.068565529317624,0.2
33.3,199.0,28.082429003221183,29.260531791408745,0.95
32.8,37.0,24.245287789703124,23.994337833191,0.95
33.9,300.0,25.20504036580177,25.28306338428504,0.95
35.6,579.0,27.869236850892133,28.04440910834439,0.95
36.7,541.0,24.074791343644527,23.83038532393298,0.5
38.3,697.0,23.65953370042847,22.615839278630343,0.95
37.8,269.0,24.310946479489655,24.318011623310145,0.95
39.4,385.0,23.35663219956079,23.289770298032035,0.95
37.8,155.0,27.622483808076847,29.437581218740583,0.95
37.8,159.0,28.45715829912012,28.464963036515336,0.3
37.2,157.0,27.083287945796588,27.06723005208339,0.1
36.1,0.0,28.83502022674024,28.97168472150174,0.1
35.6,0.0,28.43218058293659,28.429376615192915,0.05
33.9,0.0,23.71281074196567,23.49256047108829,0.05
32.8,0.0,27.080659349932933,29.140471987919824,0.05
31.7,0.0,26.34637667604258,26.314737935325205,0.05
